food,uses,our_kcal,usda_kcal,delta_pct,our_protein,usda_protein,our_carbs,usda_carbs,our_fat,usda_fat,usda_match,data_type
"hoisin sauce",1,220,220.0,0.0,3.3,3.3,44,44.1,3.4,3.4,"Sauce, hoisin, ready-to-serve",SR Legacy
"cheddar",1,402,408.0,1.5,25,23.3,1.3,2.4,33,34.0,"Cheese, cheddar",Foundation
"low-fat mozzarella",1,254,254.0,0.0,24,24.3,2.8,2.8,16,15.9,"Cheese, mozzarella, part skim milk",SR Legacy
"sun-dried tomatoes",1,258,258.0,0.0,14,14.1,56,55.8,3,3.0,"Tomatoes, sun-dried",SR Legacy
"jacket potato",1,93,93.0,0.0,2.5,2.5,21,21.2,0.1,0.1,"Potatoes, baked, flesh and skin, with salt",SR Legacy
"pasta",1,371,371.0,0.0,13,13.0,75,74.7,1.5,1.5,"Pasta, dry, enriched",SR Legacy
"red pepper",1,31,26.0,-16.1,1,1.0,6,6.0,0.3,0.3,"Peppers, sweet, red, raw",SR Legacy
"dry spaghetti",1,371,372.0,0.3,13,13.4,75,74.8,1.5,1.6,"Spaghetti, spinach, dry",SR Legacy
"whole wheat pasta",1,348,362.0,4.0,14,13.5,71,73.1,2.5,2.7,"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, dry",SR Legacy
"pearl barley",1,123,123.0,0.0,2.3,2.3,28,28.2,0.4,0.4,"Barley, pearled, cooked",SR Legacy
"oat flour",1,404,404.0,0.0,15,14.7,66,65.7,9.1,9.1,"Oat flour, partially debranned",SR Legacy
"gram (chickpea) flour",1,387,387.0,0.0,22,22.4,58,57.8,6.7,6.7,"Chickpea flour (besan)",SR Legacy
"wholemeal toast",1,247,306.0,23.9,13,16.3,41,51.2,3.4,4.1,"Bread, whole-wheat, commercially prepared, toasted",SR Legacy
"wholemeal wrap",1,293,310.0,5.8,9,9.8,47,45.9,7,9.8,"Tortillas, ready-to-bake or -fry, whole wheat",SR Legacy
"wholemeal pitta",1,266,262.0,-1.5,9.8,9.8,53,55.9,1.6,1.7,"Bread, pita, whole-wheat",SR Legacy
"sourdough",1,260,272.0,4.6,9,10.8,51,51.9,1.8,2.4,"Bread, french or vienna (includes sourdough)",SR Legacy
"crackers",1,431,433.0,0.5,9,14.2,71,64.4,12,13.4,"Crackers, snack, Goya Crackers",SR Legacy
"pretzels",1,380,397.0,4.5,10,10.8,80,82.2,3,2.0,"Babyfood, pretzels",SR Legacy
"lean beef strips",1,137,117.0,-14.6,22,23.1,0,0.0,5,2.7,"Beef, grass-fed, strip steaks, lean only, raw",SR Legacy
"shrimp",1,85,85.0,0.0,20.1,20.1,0,0.0,0.5,0.5,"Crustaceans, shrimp, raw",SR Legacy
"white beans",1,139,139.0,0.0,9.7,9.7,25,25.1,0.4,0.3,"Beans, white, mature seeds, cooked, boiled, with salt",SR Legacy
"vanilla protein",1,375,335.0,-10.7,80,88.3,6,0.0,4,3.4,"Soy protein isolate",SR Legacy
"vanilla protein powder",1,375,388.0,3.5,80,55.6,6,28.9,4,5.6,"Beverages, Protein powder soy based",SR Legacy
"jam",1,258,278.0,7.8,0.4,0.4,64,68.9,0.1,0.1,"Jams and preserves",SR Legacy
"dried apricots",1,241,241.0,0.0,3.4,3.4,63,62.6,0.5,0.5,"Apricots, dried, sulfured, uncooked",SR Legacy
"pomegranate seeds",1,83,83.0,0.0,1.7,1.7,19,18.7,1.2,1.2,"Pomegranates, raw",SR Legacy
"kiwi",1,61,47.0,-23.0,1.1,0.0,15,12.3,0.5,0.0,"Beverages, Kiwi Strawberry Juice Drink",SR Legacy
"bell pepper",1,31,26.0,-16.1,1,1.0,6,6.0,0.3,0.3,"Peppers, sweet, red, raw",SR Legacy
"pak choi",1,13,13.0,0.0,1.5,1.5,2.2,2.2,0.2,0.2,"Cabbage, chinese (pak-choi), raw",SR Legacy
"radish",1,16,16.0,0.0,0.7,0.7,3.4,3.4,0.1,0.1,"Radishes, raw",SR Legacy
"corn tortillas",1,218,218.0,0.0,5.7,5.7,45,44.6,2.9,2.9,"Tortillas, ready-to-bake or -fry, corn",SR Legacy
"asparagus",1,20,20.0,0.0,2.2,2.2,3.9,3.9,0.1,0.1,"Asparagus, raw",SR Legacy
